"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Indicator"
"C1","1","10u","","","","Capacitor_SMD:C_0402_1005Metric","","+"
"C2","1","22u","","","","Capacitor_SMD:C_0402_1005Metric","","+"
"C3,C10,C14","3","4.7u","","","","Capacitor_SMD:C_0603_1608Metric","","+"
"C4,C5,C6,C7,C8,C9,C11,C12,C13,C19","10","100n","","","","Capacitor_SMD:C_0402_1005Metric","","+"
"C15","1","0.8p","","","","Capacitor_SMD:C_0402_1005Metric","","+"
"C16","1","0.3p","","","","Capacitor_SMD:C_0402_1005Metric","","+"
"C17,C18","2","10p","","","","Capacitor_SMD:C_0402_1005Metric","","+"
"D1","1","D","","","","Diode_SMD:D_0805_2012Metric","~",""
"D2","1","USBLC6-2SC6","","","","PCM_Package_TO_SOT_SMD_AKL:SOT-23-6","https://www.tme.eu/Document/db59d28d28a96c34f26d05f234ff409c/USBLC6-2.pdf",""
"D3","1","LED","","","","PCM_SparkFun-LED:LED_0603_1608Metric","~",""
"FTR1","1","DLF162500LT-5028A1","","","","DLF162500LT-5028A1:DLF162500LT-5028A1","",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip",""
"J2","1","Conn_ARM_SWD_TagConnect_TC2030","","Excluded from BOM","","Connector:Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical","https://www.tag-connect.com/wp-content/uploads/bsk-pdf-manager/TC2030-CTX_1.pdf",""
"J3","1","Conn_Coaxial","","","","Connector_Coaxial:U.FL_Hirose_U.FL-R-SMT-1_Vertical","~",""
"J4","1","Conn_01x04_Pin","","","","Connector_Molex:Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal","~",""
"L1","1","10n","","","","Inductor_SMD:L_0402_1005Metric","","●"
"L2","1","10u","","","","Inductor_SMD:L_0805_2012Metric","","●"
"L3","1","2.7n","","","","Inductor_SMD:L_0402_1005Metric","","●"
"R1","1","120","","","","PCM_fab:R_1206","~",""
"R2","1","200","","","","PCM_fab:R_1206","~",""
"R3,R4,R9","3","5.1K","","","","PCM_fab:R_1206","~",""
"R6,R7,R8,R10","4","220","","","","PCM_fab:R_1206","~",""
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_B3S-1000","~",""
"U1","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf",""
"U2","1","STM32WB55CEUx","","","","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://www.st.com/resource/en/datasheet/stm32wb55ce.pdf",""
"Y1","1","Crystal_32.768kHz","","","","Crystal:Crystal_AT310_D3.0mm_L10.0mm_Horizontal","",""
"Y2","1","Crystal_32MHz","","","","Crystal:Crystal_HC49-4H_Vertical","",""
